club,nation,league,name,rating,position,price,card_types
Real Madrid,France,LaLiga Santander,Karim Benzema,93,CF,261K,headliners gold rare
FC Bayern,Canada,Bundesliga,Alphonso Davies,93,LB,1.88M,toty gold rare
Liverpool,Senegal,Premier League,Sadio Mané,93,LW,2.09M,toty_nominee gold rare
Derby County,England,EFL Championship (ENG 2),Wayne Rooney,93,ST,379.35K,sbc_premium gold rare
FUT 21 ICONS,Wales,Icons,Ryan Giggs,92,LM,344K,icon gold rare
FUT 21 ICONS,Argentina,Icons,Javier Zanetti,92,RB,670K,icon gold rare
FUT 21 ICONS,Italy,Icons,Alessandro Nesta,92,CB,479K,icon gold rare
FUT 21 ICONS,Italy,Icons,Fabio Cannavaro,92,CB,1.13M,icon gold rare
FUT 21 ICONS,Brazil,Icons,Rivaldo,92,LW,560K,icon gold rare
FUT 21 ICONS,Bulgaria,Icons,Hristo Stoichkov,92,ST,1.45M,icon gold rare
FUT 21 ICONS,Portugal,Icons,Luís Figo,92,RW,1.29M,icon gold rare
FUT 21 ICONS,Italy,Icons,Andrea Pirlo,92,CM,568K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Ruud van Nistelrooy,92,ST,373K,icon gold rare
FUT 21 ICONS,Spain,Icons,Raúl González Blanco,92,CF,1.01M,icon gold rare
FUT 21 ICONS,Mexico,Icons,Hugo Sánchez,92,ST,1.07M,icon gold rare
FUT 21 ICONS,England,Icons,Bobby Moore,92,CB,298K,icon gold rare
FUT 21 ICONS,Spain,Icons,Emilio Butragueño,92,ST,1.96M,icon gold rare
FUT 21 ICONS,England,Icons,Gary Lineker,92,ST,431K,icon gold rare
FUT 21 ICONS,Italy,Icons,Alessandro Del Piero,92,CF,789K,icon gold rare
FUT 21 ICONS,Spain,Icons,Carles Puyol Saforcada,92,CB,420K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Dennis Bergkamp,92,CF,592K,icon gold rare
FUT 21 ICONS,Denmark,Icons,Peter Schmeichel,92,GK,450K,icon gold rare
FUT 21 ICONS,Italy,Icons,Paolo Maldini,92,CB,2.03M,icon gold rare
FUT 21 ICONS,Brazil,Icons,Garrincha,92,RW,1.85M,icon gold rare
FUT 21 ICONS,Scotland,Icons,Kenny Dalglish,92,ST,2.1M,icon gold rare
Piemonte Calcio,Portugal,Serie A TIM,Cristiano Ronaldo,92,ST,1.13M,gold rare
FUT 21 ICONS,Hungary,Icons,Ferenc Puskás,92,ST,2.2M,icon gold rare
FUT 21 ICONS,Cameroon,Icons,Samuel Eto'o,92,ST,3.71M,icon gold rare
FC Bayern,Poland,Bundesliga,Robert Lewandowski,92,ST,138K,if gold rare
Piemonte Calcio,Portugal,Serie A TIM,Cristiano Ronaldo,92,ST,1.14M,ucl_rare gold rare
Liverpool,Egypt,Premier League,Mohamed Salah,92,RW,2.1M,ucl_live gold rare
Manchester City,Belgium,Premier League,Kevin De Bruyne,92,CM,399K,ucl_tott gold rare
FUT 21 ICONS,England,Icons,David Beckham,92,RM,836K,icon gold rare
Liverpool,Senegal,Premier League,Sadio Mané,92,ST,2.29M,futmas gold rare
Manchester Utd,Portugal,Premier League,Bruno Fernandes,92,CAM,1.22M,potm_epl gold rare
Real Madrid,France,LaLiga Santander,Karim Benzema,92,CF,120K,if gold rare
Paris SG,Brazil,Ligue 1 Conforama,Neymar Jr,92,LM,2.15M,if gold rare
Liverpool,Egypt,Premier League,Mohamed Salah,92,RW,1.15M,if gold rare
FC Barcelona,Spain,LaLiga Santander,Ansu Fati,92,ST,2.69M,future_stars gold rare
FUT 21 ICONS,England,Icons,Alan Shearer,91,ST,210K,icon gold rare
FUT 21 ICONS,England,Icons,Paul Scholes,91,CM,325K,icon gold rare
FUT 21 ICONS,France,Icons,Marcel Desailly,91,CB,1.67M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Clarence Seedorf,91,CAM,750K,icon gold rare
FUT 21 ICONS,France,Icons,Robert Pirès,91,LM,267K,icon gold rare
FUT 21 ICONS,Germany,Icons,Michael Ballack,91,CM,1.16M,icon gold rare
FUT 21 ICONS,England,Icons,Michael Owen,91,ST,509K,icon gold rare
FUT 21 ICONS,France,Icons,David Trezeguet,91,ST,250K,icon gold rare
FUT 21 ICONS,Czech Republic,Icons,Pavel Nedvěd,91,LM,523K,icon gold rare
FUT 21 ICONS,Ukraine,Icons,Andriy Shevchenko,91,ST,474K,icon gold rare
FUT 21 ICONS,England,Icons,Steven Gerrard,91,CM,823K,icon gold rare
FUT 21 ICONS,Argentina,Icons,Riquelme,91,CAM,398K,icon gold rare
FUT 21 ICONS,Côte d'Ivoire,Icons,Didier Drogba,91,ST,1.27M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Edwin van der Sar,91,GK,666K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Kaká,91,CAM,1.53M,icon gold rare
FUT 21 ICONS,Spain,Icons,Fernando Hierro Ruiz,91,CB,399K,icon gold rare
FUT 21 ICONS,Romania,Icons,Gheorghe Hagi,91,CAM,448K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Ronald Koeman,91,CB,699K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Pelé,91,CF,4.58M,icon gold rare
FUT 21 ICONS,Brazil,Icons,Sócrates,91,CAM,977K,icon gold rare
FUT 21 ICONS,Germany,Icons,Lothar Matthäus,91,CDM,1.99M,icon gold rare
FUT 21 ICONS,Denmark,Icons,Michael Laudrup,91,CAM,274K,icon gold rare
FUT 21 ICONS,Argentina,Icons,Diego Maradona,91,CAM,2.47M,icon gold rare
FUT 21 ICONS,Russia,Icons,Lev Yashin,91,GK,410K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Ronaldinho,91,CAM,3.23M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Patrick Kluivert,91,ST,360K,icon gold rare
FUT 21 ICONS,France,Icons,Patrick Vieira,91,CM,4.6M,icon gold rare
FUT 21 ICONS,Brazil,Icons,Roberto Carlos,91,LB,1.45M,icon gold rare
FUT 21 ICONS,France,Icons,Laurent Blanc,91,CB,1.01M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Marco van Basten,91,ST,202K,icon gold rare
FUT 21 ICONS,Italy,Icons,Franco Baresi,91,CB,245K,icon gold rare
FUT 21 ICONS,Germany,Icons,Miroslav Klose,91,ST,335K,icon gold rare
FUT 21 ICONS,Portugal,Icons,Eusébio,91,CF,4.03M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Johan Cruyff,91,CF,4.05M,icon gold rare
FUT 21 ICONS,Italy,Icons,Roberto Baggio,91,CAM,480K,icon gold rare
FUT 21 ICONS,Wales,Icons,Ian Rush,91,ST,314K,icon gold rare
FUT 21 ICONS,France,Icons,Zinedine Zidane,91,CM,2.6M,icon gold rare
Manchester City,Belgium,Premier League,Kevin De Bruyne,91,CAM,79K,gold rare
FC Bayern,Poland,Bundesliga,Robert Lewandowski,91,ST,74.5K,gold rare
Paris SG,Brazil,Ligue 1 Conforama,Neymar Jr,91,LW,758K,gold rare
Atlético de Madrid,Slovenia,LaLiga Santander,Jan Oblak,91,GK,74K,gold rare
FUT 21 ICONS,Germany,Icons,Philipp Lahm,91,RB,977K,icon gold rare
FUT 21 ICONS,Spain,Icons,Fernando Torres,91,ST,1.65M,icon gold rare
FUT 21 ICONS,Germany,Icons,Bastian Schweinsteiger,91,CM,1.05M,icon gold rare
FUT 21 ICONS,Czech Republic,Icons,Petr Cech,91,GK,625K,icon gold rare
Atlético de Madrid,Slovenia,LaLiga Santander,Jan Oblak,91,GK,72.5K,ucl_rare gold rare
Paris SG,Brazil,Ligue 1 Conforama,Neymar Jr,91,LW,753K,ucl_rare gold rare
Manchester City,Belgium,Premier League,Kevin De Bruyne,91,CAM,80K,ucl_rare gold rare
FC Bayern,Poland,Bundesliga,Robert Lewandowski,91,ST,76K,ucl_rare gold rare
Spurs,England,Premier League,Harry Kane,91,ST,1.32M,halloween gold rare
Liverpool,Senegal,Premier League,Sadio Mané,91,LW,585K,if gold rare
Paris SG,France,Ligue 1 Conforama,Kylian Mbappé,91,ST,3.01M,bluered gold rare
Liverpool,Netherlands,Premier League,Virgil van Dijk,91,CB,1.03M,bluered gold rare
Liverpool,Egypt,Premier League,Mohamed Salah,91,RW,762K,if gold rare
Manchester Utd,Portugal,Premier League,Bruno Fernandes,91,CAM,1.14M,potm_epl gold rare
Real Madrid,France,LaLiga Santander,Karim Benzema,91,CF,99K,if gold rare
Manchester Utd,Portugal,Premier League,Bruno Fernandes,91,CAM,0,headliners gold rare
FC Bayern,Germany,Bundesliga,Joshua Kimmich,91,CDM,397K,if gold rare
Atlético de Madrid,Uruguay,LaLiga Santander,Luis Suárez,91,ST,0,f_moment gold rare
Piemonte Calcio,Argentina,Serie A TIM,Paulo Dybala,91,CF,216.15K,f_moment gold rare
Liverpool,Scotland,Premier League,Andrew Robertson,91,LB,521K,toty_nominee gold rare
Lazio,Italy,Serie A TIM,Ciro Immobile,91,ST,293K,toty_nominee gold rare
Dortmund,United States,Bundesliga,Giovanni Reyna,91,CAM,1.31M,future_stars gold rare
Rennes,France,Ligue 1 Conforama,Camavinga,91,CM,1.99M,future_stars gold rare
Dortmund,United States,Bundesliga,Giovanni Reyna,91,RM,920K,future_stars gold rare
FUT 21 ICONS,Republic of Ireland,Icons,Roy Keane,90,CM,399K,icon gold rare
FUT 21 ICONS,Nigeria,Icons,Jay-Jay Okocha,90,CAM,550K,icon gold rare
FUT 21 ICONS,Portugal,Icons,Rui Manuel César Costa,90,CAM,375K,icon gold rare
FUT 21 ICONS,Italy,Icons,Alessandro Del Piero,90,CF,778K,icon gold rare
FUT 21 ICONS,Italy,Icons,Filippo Inzaghi,90,ST,163K,icon gold rare
FUT 21 ICONS,Italy,Icons,Gianfranco Zola,90,CF,640K,icon gold rare
FUT 21 ICONS,France,Icons,Emmanuel Petit,90,CDM,1.08M,icon gold rare
FUT 21 ICONS,France,Icons,Claude Makélélé,90,CDM,1.1M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Dennis Bergkamp,90,CAM,360K,icon gold rare
FUT 21 ICONS,England,Icons,Frank Lampard,90,CM,409K,icon gold rare
FUT 21 ICONS,Finland,Icons,Jari Litmanen,90,CAM,197K,icon gold rare
FUT 21 ICONS,England,Icons,Rio Ferdinand,90,CB,1.89M,icon gold rare
FUT 21 ICONS,Argentina,Icons,Hernán Crespo,90,ST,703K,icon gold rare
FUT 21 ICONS,Ghana,Icons,Michael Essien,90,CDM,1.8M,icon gold rare
FUT 21 ICONS,Portugal,Icons,Anderson Luís de Souza,90,CM,280K,icon gold rare
FUT 21 ICONS,Mexico,Icons,Luis Hernández,90,ST,683K,icon gold rare
FUT 21 ICONS,Denmark,Icons,Peter Schmeichel,90,GK,290K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Frank Rijkaard,90,CDM,829K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Ronaldo,90,ST,2.93M,icon gold rare
FUT 21 ICONS,France,Icons,Thierry Henry,90,LW,780K,icon gold rare
FUT 21 ICONS,Spain,Icons,Carles Puyol Saforcada,90,CB,379K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Ruud Gullit,90,CM,5.88M,icon gold rare
FUT 21 ICONS,Northern Ireland,Icons,George Best,90,RW,1.4M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Marc Overmars,90,LM,435K,icon gold rare
FUT 21 ICONS,Italy,Icons,Alessandro Nesta,90,CB,259K,icon gold rare
FUT 21 ICONS,Portugal,Icons,Luís Figo,90,RW,735K,icon gold rare
FUT 21 ICONS,Sweden,Icons,Henrik Larsson,90,ST,549K,icon gold rare
FUT 21 ICONS,Italy,Icons,Christian Vieri,90,ST,205K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Ruud van Nistelrooy,90,ST,166K,icon gold rare
FUT 21 ICONS,Bulgaria,Icons,Hristo Stoichkov,90,LW,625K,icon gold rare
FUT 21 ICONS,Spain,Icons,Emilio Butragueño,90,ST,1.36M,icon gold rare
FUT 21 ICONS,Brazil,Icons,Rivaldo,90,CF,488K,icon gold rare
FUT 21 ICONS,Argentina,Icons,Juan Sebastián Verón,90,CM,555K,icon gold rare
FUT 21 ICONS,Spain,Icons,Pep Guardiola,90,CDM,604K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Carlos Alberto Torres,90,RB,922K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Garrincha,90,RW,1.64M,icon gold rare
FUT 21 ICONS,Italy,Icons,Andrea Pirlo,90,CM,397K,icon gold rare
FUT 21 ICONS,Scotland,Icons,Kenny Dalglish,90,CF,1.38M,icon gold rare
Liverpool,Netherlands,Premier League,Virgil van Dijk,90,CB,163K,gold rare
Liverpool,Egypt,Premier League,Mohamed Salah,90,RW,170K,gold rare
Liverpool,Senegal,Premier League,Sadio Mané,90,LW,122K,gold rare
Liverpool,Brazil,Premier League,Alisson,90,GK,61.5K,gold rare
Paris SG,France,Ligue 1 Conforama,Kylian Mbappé,90,ST,953K,gold rare
FC Barcelona,Germany,LaLiga Santander,ter Stegen,90,GK,60K,gold rare
FUT 21 ICONS,France,Icons,Éric Cantona,90,CF,1.71M,icon gold rare
FUT 21 ICONS,Cameroon,Icons,Samuel Eto'o,90,ST,2.2M,icon gold rare
FUT 21 ICONS,Spain,Icons,Xavier Hernández,90,CM,487K,icon gold rare
FUT 21 ICONS,Croatia,Icons,Davor Šuker,90,ST,515K,icon gold rare
FUT 21 ICONS,Serbia,Icons,Nemanja Vidić,90,CB,847K,icon gold rare
Real Madrid,Belgium,LaLiga Santander,Thibaut Courtois,90,GK,197K,if gold rare
Real Madrid,Spain,LaLiga Santander,Sergio Ramos,90,CB,177K,if gold rare
FC Barcelona,Germany,LaLiga Santander,ter Stegen,90,GK,60K,ucl_rare gold rare
Liverpool,Brazil,Premier League,Alisson,90,GK,62.5K,ucl_rare gold rare
Liverpool,Senegal,Premier League,Sadio Mané,90,LW,128K,ucl_rare gold rare
Liverpool,Netherlands,Premier League,Virgil van Dijk,90,CB,164K,ucl_rare gold rare
Liverpool,Egypt,Premier League,Mohamed Salah,90,RW,168K,ucl_rare gold rare
Paris SG,France,Ligue 1 Conforama,Kylian Mbappé,90,ST,952K,ucl_rare gold rare
Real Madrid,France,LaLiga Santander,Karim Benzema,90,CF,85.5K,if gold rare
Napoli,Senegal,Serie A TIM,Kalidou Koulibaly,90,CB,749K,europa_live gold rare
Real Madrid,Belgium,LaLiga Santander,Eden Hazard,90,LW,1.03M,ucl_live gold rare
FC Bayern,Germany,Bundesliga,Manuel Neuer,90,GK,176K,if gold rare
Paris SG,France,Ligue 1 Conforama,Kylian Mbappé,90,ST,0,console_de gold rare
Manchester Utd,Portugal,Premier League,Bruno Fernandes,90,CAM,915K,ucl_tott gold rare
FC Bayern,Germany,Bundesliga,Joshua Kimmich,90,CM,215K,ucl_tott gold rare
Real Madrid,Brazil,LaLiga Santander,Casemiro,90,CB,400K,futmas gold rare
Dortmund,Norway,Bundesliga,Erling Haaland,90,ST,364.85K,potm_bundesliga gold rare
Real Madrid,Brazil,LaLiga Santander,Casemiro,90,CDM,152K,if gold rare
Lazio,Serbia,Serie A TIM,Sergej Milinkovic-Savic,90,CM,181.4K,headliners_2 gold rare
Fiorentina,France,Serie A TIM,Ribéry,90,LW,1.03M,sbc_flashback gold rare
FC Bayern,Germany,Bundesliga,Jérôme Boateng,90,CB,255.65K,f_moment gold rare
Manchester City,England,Premier League,Raheem Sterling,90,LW,496K,if gold rare
Arsenal,England,Premier League,Bukayo Saka,90,RM,2.2M,future_stars gold rare
FUT 21 ICONS,Portugal,Icons,Eusébio,89,CF,5.37M,icon gold rare
FUT 21 ICONS,Russia,Icons,Lev Yashin,89,GK,324K,icon gold rare
FUT 21 ICONS,France,Icons,Laurent Blanc,89,CB,890K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Ronaldinho,89,CAM,1.56M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Marco van Basten,89,ST,247K,icon gold rare
FUT 21 ICONS,Romania,Icons,Gheorghe Hagi,89,CAM,346K,icon gold rare
FUT 21 ICONS,Denmark,Icons,Michael Laudrup,89,LW,145K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Edwin van der Sar,89,GK,525K,icon gold rare
FUT 21 ICONS,Italy,Icons,Fabio Cannavaro,89,CB,440K,icon gold rare
FUT 21 ICONS,Spain,Icons,Fernando Hierro Ruiz,89,CB,215K,icon gold rare
FUT 21 ICONS,Wales,Icons,Ryan Giggs,89,LM,144K,icon gold rare
FUT 21 ICONS,England,Icons,Gary Lineker,89,ST,288K,icon gold rare
FUT 21 ICONS,England,Icons,Bobby Moore,89,CB,170K,icon gold rare
FUT 21 ICONS,England,Icons,Paul Scholes,89,CM,189K,icon gold rare
FUT 21 ICONS,England,Icons,Alan Shearer,89,ST,157K,icon gold rare
FUT 21 ICONS,Czech Republic,Icons,Pavel Nedvěd,89,LM,422K,icon gold rare
FUT 21 ICONS,Germany,Icons,Miroslav Klose,89,ST,160K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Sócrates,89,CAM,560K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Johan Cruyff,89,CF,3.52M,icon gold rare
FUT 21 ICONS,France,Icons,David Trezeguet,89,ST,173K,icon gold rare
FUT 21 ICONS,England,Icons,Steven Gerrard,89,CM,620K,icon gold rare
FUT 21 ICONS,England,Icons,Sol Campbell,89,CB,850K,icon gold rare
FUT 21 ICONS,Italy,Icons,Gennaro Gattuso,89,CDM,369K,icon gold rare
FUT 21 ICONS,Italy,Icons,Roberto Baggio,89,CF,366K,icon gold rare
FUT 21 ICONS,Germany,Icons,Michael Ballack,89,CM,627K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Kaká,89,CAM,690K,icon gold rare
FUT 21 ICONS,England,Icons,John Barnes,89,LW,420K,icon gold rare
FUT 21 ICONS,Mexico,Icons,Hugo Sánchez,89,ST,412K,icon gold rare
FUT 21 ICONS,Côte d'Ivoire,Icons,Didier Drogba,89,ST,505K,icon gold rare
FUT 21 ICONS,Wales,Icons,Ian Rush,89,ST,177K,icon gold rare
FUT 21 ICONS,England,Icons,Ian Wright,89,ST,294K,icon gold rare
FUT 21 ICONS,Italy,Icons,Gianluca Zambrotta,89,RB,855K,icon gold rare
FUT 21 ICONS,Argentina,Icons,Riquelme,89,CAM,187K,icon gold rare
Manchester City,Argentina,Premier League,Sergio Agüero,89,ST,53K,gold rare
Real Madrid,Spain,LaLiga Santander,Sergio Ramos,89,CB,55K,gold rare
FC Bayern,Germany,Bundesliga,Manuel Neuer,89,GK,51.5K,gold rare
Real Madrid,France,LaLiga Santander,Karim Benzema,89,CF,53K,gold rare
Real Madrid,Brazil,LaLiga Santander,Casemiro,89,CDM,54.5K,gold rare
Real Madrid,Belgium,LaLiga Santander,Thibaut Courtois,89,GK,54K,gold rare
FUT 21 ICONS,Germany,Icons,Philipp Lahm,89,CDM,1.32M,icon gold rare
FUT 21 ICONS,Hungary,Icons,Ferenc Puskás,89,CF,1.97M,icon gold rare
FUT 21 ICONS,Germany,Icons,Bastian Schweinsteiger,89,CM,404K,icon gold rare
FUT 21 ICONS,England,Icons,Ashley Cole,89,LB,709K,icon gold rare
Spurs,England,Premier League,Harry Kane,89,ST,87.5K,if gold rare
Atlético de Madrid,Uruguay,LaLiga Santander,Luis Suárez,89,ST,80K,otw gold rare
Real Madrid,Spain,LaLiga Santander,Sergio Ramos,89,CB,55.5K,ucl_rare gold rare
Real Madrid,Brazil,LaLiga Santander,Casemiro,89,CDM,53K,ucl_rare gold rare
Real Madrid,Belgium,LaLiga Santander,Thibaut Courtois,89,GK,53K,ucl_rare gold rare
Real Madrid,France,LaLiga Santander,Karim Benzema,89,CF,52K,ucl_rare gold rare
FC Bayern,Germany,Bundesliga,Manuel Neuer,89,GK,51.5K,ucl_rare gold rare
Manchester City,Argentina,Premier League,Sergio Agüero,89,ST,54.5K,ucl_rare gold rare
Manchester City,Brazil,Premier League,Ederson,89,GK,134K,if gold rare
FC Bayern,Germany,Bundesliga,Joshua Kimmich,89,CDM,100K,if gold rare
FC Barcelona,France,LaLiga Santander,Antoine Griezmann,89,ST,281K,ucl_live gold rare
Arsenal,Gabon,Premier League,Aubameyang,89,ST,1.14M,europa_live gold rare
Manchester Utd,Portugal,Premier League,Bruno Fernandes,89,CAM,644K,if gold rare
Spurs,Korea Republic,Premier League,Heung Min Son,89,LM,752.2K,potm_epl gold rare
Chelsea,France,Premier League,N'Golo Kanté,89,CDM,523K,if gold rare
Real Sociedad,Spain,LaLiga Santander,David Silva,89,CAM,115K,bluered gold rare
Manchester City,England,Premier League,Raheem Sterling,89,LW,216K,ucl_tott gold rare
FUT 21 ICONS,England,Icons,David Beckham,89,RM,476K,icon gold rare
Real Madrid,Germany,LaLiga Santander,Toni Kroos,89,CM,86K,if gold rare
Piemonte Calcio,Italy,Serie A TIM,Giorgio Chiellini,89,CDM,308K,futmas gold rare
Atlético de Madrid,Uruguay,LaLiga Santander,Luis Suárez,89,ST,77K,if gold rare
Inter,Slovenia,Serie A TIM,Samir Handanovic,89,GK,149K,if gold rare
Liverpool,Brazil,Premier League,Roberto Firmino,89,CM,957.9K,futmas gold rare
AS Monaco,France,Ligue 1 Conforama,Wissam Ben Yedder,89,ST,1.57M,headliners_2 gold rare
Spurs,Korea Republic,Premier League,Heung Min Son,89,LM,1.05M,headliners gold rare
Dortmund,Norway,Bundesliga,Erling Haaland,89,ST,561K,headliners gold rare
RC Celta,Spain,LaLiga Santander,Iago Aspas,89,ST,130.35K,potm_laliga gold rare
FC Barcelona,France,LaLiga Santander,Antoine Griezmann,89,LW,185K,if gold rare
Paris SG,Costa Rica,Ligue 1 Conforama,Keylor Navas,89,GK,92K,if gold rare
Paris SG,Brazil,Ligue 1 Conforama,Marquinhos,89,CB,177K,toty_nominee gold rare
Spurs,Netherlands,Premier League,Steven Bergwijn,89,LM,895K,future_stars gold rare
Leverkusen,Burkina Faso,Bundesliga,Tapsoba,89,CB,640K,future_stars gold rare
FUT 21 ICONS,Italy,Icons,Christian Vieri,88,ST,142K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Roberto Carlos,88,LB,910K,icon gold rare
FUT 21 ICONS,Italy,Icons,Paolo Maldini,88,LB,980K,icon gold rare
FUT 21 ICONS,France,Icons,Patrick Vieira,88,CM,3.82M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Marc Overmars,88,LW,305K,icon gold rare
FUT 21 ICONS,Argentina,Icons,Juan Sebastián Verón,88,CM,309K,icon gold rare
FUT 21 ICONS,England,Icons,Rio Ferdinand,88,CB,890K,icon gold rare
FUT 21 ICONS,France,Icons,Emmanuel Petit,88,CDM,720K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Patrick Kluivert,88,ST,202K,icon gold rare
FUT 21 ICONS,Portugal,Icons,Rui Manuel César Costa,88,CAM,193K,icon gold rare
FUT 21 ICONS,Germany,Icons,Lothar Matthäus,88,CB,1.4M,icon gold rare
FUT 21 ICONS,Northern Ireland,Icons,George Best,88,RW,1.38M,icon gold rare
FUT 21 ICONS,Italy,Icons,Alessandro Nesta,88,CB,238K,icon gold rare
FUT 21 ICONS,France,Icons,Robert Pirès,88,LM,151K,icon gold rare
FUT 21 ICONS,Portugal,Icons,Luís Figo,88,CAM,624K,icon gold rare
FUT 21 ICONS,England,Icons,Michael Owen,88,ST,289K,icon gold rare
FUT 21 ICONS,Finland,Icons,Jari Litmanen,88,CAM,151K,icon gold rare
FUT 21 ICONS,Ukraine,Icons,Andriy Shevchenko,88,ST,194K,icon gold rare
